course_name,course_id,course_category,course_language,exercices_mandatory,language_professor,quality_language_lectures,language_assistant,quality_language_exercises,content_is_understandable,examples,difficulty_lectures,difficulty_exercices,listening_professor,responsiveness_professor,responsiveness_assistant,course_structure,course_independently,course_evaluation_modalities,course_activities,expectations_lectures,course_prepared_exam,effort_lectures,effort_exercises,effort_exam_preperation,exam_difficulty,open_book_exam,grading,statisfaction
Computer Vision,31062,t3,english,yes,very good,very poor,poor,poor,agree,disagree,easy,very easy,moderate,very good,good,agree,disagree,agree,agree,agree,disagree,very few,a few,very much,difficult,no,2.25,neither
Computer Vision,31062,t3,english,yes,good,very good,moderate,good,strongly disagree,strongly agree,easy,moderate,poor,poor,very good,agree,strongly disagree,agree,neither agree nor disagree,strongly agree,strongly disagree,some,very much,some,very difficult,no,5.75,neither
Computer Vision,31062,t3,english,yes,moderate,very good,very good,good,neither agree nor disagree,neither agree nor disagree,very difficult,easy,moderate,poor,very good,strongly disagree,disagree,disagree,disagree,agree,disagree,very much,very much,very much,very difficult,no,5.0,satisfied
Automata on Infinite Structures,43024,t4,english,yes,very poor,poor,moderate,very poor,strongly agree,strongly agree,very easy,difficult,very poor,poor,moderate,strongly disagree,strongly disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,strongly disagree,very much,a few,a few,easy,no,4.5,neither
Automata on Infinite Structures,43024,t4,english,yes,poor,very good,very good,poor,disagree,disagree,very easy,very easy,poor,moderate,very poor,strongly disagree,strongly agree,disagree,agree,strongly agree,disagree,very few,some,a few,very difficult,no,3.75,neither
Automata on Infinite Structures,43024,t4,english,yes,moderate,poor,very poor,very good,agree,disagree,very difficult,very easy,very good,poor,moderate,strongly disagree,neither agree nor disagree,disagree,disagree,disagree,neither agree nor disagree,a few,a few,a few,easy,no,5.25,neither
Automata on Infinite Structures,43024,t4,english,yes,very poor,very good,very poor,very good,strongly agree,strongly agree,very difficult,easy,moderate,very good,good,strongly disagree,strongly disagree,disagree,strongly agree,strongly agree,disagree,very much,moderate,some,difficult,no,6.0,very dissatisfied
Automata on Infinite Structures,43024,t4,english,yes,very good,poor,very good,good,disagree,agree,very difficult,very difficult,very good,moderate,poor,neither agree nor disagree,strongly disagree,agree,neither agree nor disagree,strongly agree,strongly agree,a few,some,very much,moderate,no,1.25,neither
Automata on Infinite Structures,43024,t4,english,yes,very poor,very good,very good,moderate,strongly disagree,neither agree nor disagree,easy,moderate,good,very good,very poor,agree,agree,strongly disagree,strongly disagree,strongly agree,strongly agree,a few,moderate,very few,difficult,no,3.75,dissatisfied
Automata on Infinite Structures,43024,t4,english,yes,good,very good,very poor,poor,strongly agree,neither agree nor disagree,moderate,easy,very poor,poor,very good,strongly agree,strongly agree,strongly disagree,agree,strongly disagree,agree,very much,very much,moderate,very easy,no,1.25,dissatisfied
Automata on Infinite Structures,43024,t4,english,yes,very poor,moderate,very good,very good,neither agree nor disagree,agree,very easy,very difficult,very poor,good,poor,strongly agree,agree,disagree,neither agree nor disagree,agree,neither agree nor disagree,very much,moderate,some,moderate,no,4.75,neither
Automata on Infinite Structures,43024,t4,english,yes,moderate,good,very poor,good,strongly disagree,strongly disagree,very easy,easy,very poor,good,very good,disagree,neither agree nor disagree,agree,disagree,disagree,strongly disagree,moderate,moderate,very few,difficult,no,2.25,very satisfied
Seminar Cryptography and Data Security,11867,"t4,t5",french,no,good,poor,very poor,very poor,agree,neither agree nor disagree,moderate,very difficult,moderate,very poor,good,disagree,disagree,disagree,neither agree nor disagree,neither agree nor disagree,strongly disagree,some,very few,some,moderate,yes,4.75,neither
Seminar Cryptography and Data Security,11867,"t4,t5",french,no,very poor,moderate,poor,poor,disagree,strongly disagree,very difficult,easy,good,good,good,disagree,neither agree nor disagree,strongly disagree,strongly disagree,strongly agree,disagree,very few,a few,a few,easy,yes,5.75,dissatisfied
Seminar Cryptography and Data Security,11867,"t4,t5",french,no,very good,very poor,very poor,very good,disagree,disagree,easy,moderate,very poor,poor,very poor,disagree,strongly disagree,strongly agree,agree,strongly agree,strongly agree,moderate,very few,very much,moderate,yes,6.0,neither
Seminar Cryptography and Data Security,11867,"t4,t5",french,no,poor,very poor,very good,good,disagree,strongly disagree,easy,very difficult,poor,poor,good,strongly agree,agree,disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,some,some,some,easy,yes,4.75,dissatisfied
Seminar Cryptography and Data Security,11867,"t4,t5",french,no,poor,very poor,very good,very good,agree,neither agree nor disagree,very difficult,very easy,very poor,good,moderate,strongly agree,strongly disagree,strongly disagree,neither agree nor disagree,strongly disagree,strongly disagree,a few,a few,very much,easy,yes,4.5,very satisfied
Seminar Cryptography and Data Security,11867,"t4,t5",french,no,moderate,poor,very poor,very poor,agree,agree,very difficult,moderate,very good,very poor,very good,agree,neither agree nor disagree,disagree,strongly agree,disagree,disagree,very much,moderate,very few,very difficult,yes,1.0,satisfied
Seminar Cryptography and Data Security,11867,"t4,t5",french,no,moderate,very poor,moderate,good,disagree,agree,very difficult,easy,very good,poor,moderate,disagree,strongly agree,strongly disagree,strongly disagree,strongly disagree,neither agree nor disagree,very few,moderate,very much,difficult,yes,4.75,satisfied
Seminar Cryptography and Data Security,11867,"t4,t5",french,no,good,very poor,very good,very poor,disagree,neither agree nor disagree,moderate,moderate,poor,moderate,poor,strongly agree,neither agree nor disagree,agree,neither agree nor disagree,strongly agree,strongly disagree,moderate,some,moderate,moderate,yes,5.5,satisfied
Seminar Cryptography and Data Security,11867,"t4,t5",french,no,moderate,poor,good,very poor,strongly disagree,strongly agree,easy,difficult,good,very poor,very good,strongly agree,agree,strongly agree,neither agree nor disagree,disagree,strongly disagree,moderate,a few,moderate,moderate,yes,4.25,dissatisfied
Seminar Cryptography and Data Security,11867,"t4,t5",french,no,very good,poor,poor,very good,strongly agree,neither agree nor disagree,very easy,moderate,moderate,moderate,moderate,agree,strongly disagree,strongly agree,neither agree nor disagree,agree,neither agree nor disagree,very few,a few,moderate,difficult,yes,4.75,very satisfied
Fuzzy Systems Engineering,53105,t5,german,yes,poor,very good,very good,moderate,disagree,neither agree nor disagree,very easy,easy,very poor,moderate,very poor,strongly agree,strongly disagree,neither agree nor disagree,agree,strongly agree,neither agree nor disagree,moderate,a few,very much,very difficult,no,1.0,satisfied
Fuzzy Systems Engineering,53105,t5,german,yes,very poor,moderate,very poor,very poor,disagree,strongly agree,easy,very easy,very good,moderate,very good,strongly agree,strongly agree,strongly disagree,disagree,strongly disagree,strongly disagree,a few,very few,moderate,difficult,no,1.25,satisfied
Fuzzy Systems Engineering,53105,t5,german,yes,poor,moderate,good,poor,agree,disagree,very easy,easy,very good,good,poor,neither agree nor disagree,strongly agree,agree,strongly disagree,disagree,agree,very much,very few,very much,easy,no,4.0,very dissatisfied
Fuzzy Systems Engineering,53105,t5,german,yes,poor,very good,good,moderate,strongly disagree,disagree,moderate,moderate,very poor,very good,very poor,disagree,strongly disagree,neither agree nor disagree,strongly disagree,neither agree nor disagree,disagree,moderate,moderate,some,very difficult,no,1.25,very dissatisfied
Fuzzy Systems Engineering,53105,t5,german,yes,moderate,moderate,very good,good,strongly agree,strongly agree,moderate,difficult,poor,moderate,very poor,strongly disagree,strongly disagree,strongly agree,neither agree nor disagree,strongly disagree,strongly agree,very few,some,very much,very difficult,no,3.5,very dissatisfied
Fuzzy Systems Engineering,53105,t5,german,yes,good,moderate,good,moderate,disagree,neither agree nor disagree,difficult,moderate,good,moderate,very good,neither agree nor disagree,strongly disagree,strongly agree,disagree,agree,disagree,some,very much,very few,easy,no,4.25,satisfied
Fuzzy Systems Engineering,53105,t5,german,yes,very poor,very good,moderate,good,strongly agree,strongly disagree,difficult,difficult,good,moderate,very good,neither agree nor disagree,agree,neither agree nor disagree,strongly disagree,neither agree nor disagree,agree,a few,moderate,very much,difficult,no,2.25,very satisfied
Fuzzy Systems Engineering,53105,t5,german,yes,good,poor,very poor,very good,strongly agree,strongly disagree,difficult,very easy,very good,very good,poor,agree,strongly disagree,disagree,disagree,strongly agree,agree,very few,some,very few,very difficult,no,1.0,satisfied
Emerging Technologies in Digitalisation,53891,t5,french,no,very poor,moderate,moderate,very poor,agree,neither agree nor disagree,easy,moderate,very poor,moderate,poor,neither agree nor disagree,disagree,disagree,strongly disagree,strongly disagree,strongly disagree,moderate,some,a few,moderate,no,5.0,very dissatisfied
Emerging Technologies in Digitalisation,53891,t5,french,no,moderate,very good,very poor,poor,disagree,agree,very difficult,very easy,moderate,moderate,good,strongly agree,strongly disagree,strongly agree,agree,disagree,strongly disagree,moderate,some,very few,very easy,no,5.75,neither
Emerging Technologies in Digitalisation,53891,t5,french,no,good,good,good,poor,strongly agree,disagree,difficult,difficult,poor,very good,very good,neither agree nor disagree,strongly disagree,disagree,strongly agree,agree,strongly agree,very much,very few,a few,moderate,no,5.75,very dissatisfied
Emerging Technologies in Digitalisation,53891,t5,french,no,good,very poor,very good,moderate,disagree,neither agree nor disagree,moderate,easy,very poor,moderate,poor,neither agree nor disagree,agree,disagree,strongly agree,strongly disagree,strongly agree,some,a few,some,easy,no,3.75,neither
Emerging Technologies in Digitalisation,53891,t5,french,no,very poor,moderate,poor,poor,disagree,agree,easy,very difficult,good,moderate,very good,agree,neither agree nor disagree,strongly agree,strongly agree,strongly disagree,disagree,very few,some,a few,easy,no,3.25,dissatisfied
Emerging Technologies in Digitalisation,53891,t5,french,no,poor,poor,very poor,very poor,agree,disagree,difficult,difficult,poor,very poor,very poor,disagree,neither agree nor disagree,disagree,disagree,agree,strongly agree,very few,very much,moderate,difficult,no,1.0,very satisfied
Emerging Technologies in Digitalisation,53891,t5,french,no,poor,very good,good,very good,strongly disagree,strongly agree,very easy,easy,moderate,good,moderate,agree,disagree,strongly disagree,strongly agree,strongly agree,disagree,very few,very much,some,moderate,no,4.5,dissatisfied
Emerging Technologies in Digitalisation,53891,t5,french,no,good,very good,good,poor,agree,strongly agree,very easy,difficult,very good,poor,good,agree,disagree,neither agree nor disagree,disagree,strongly agree,disagree,a few,moderate,very much,very easy,no,4.0,satisfied
Emerging Technologies in Digitalisation,53891,t5,french,no,good,very poor,poor,poor,agree,agree,moderate,moderate,moderate,very poor,moderate,strongly agree,neither agree nor disagree,strongly agree,agree,strongly disagree,agree,very few,a few,moderate,moderate,no,5.25,dissatisfied
Statistical Learning Methods with R,32079,t6,german,yes,very good,moderate,moderate,very good,neither agree nor disagree,disagree,difficult,very difficult,moderate,poor,very good,strongly disagree,strongly disagree,strongly agree,disagree,strongly agree,neither agree nor disagree,very few,some,moderate,difficult,no,2.75,very dissatisfied
Statistical Learning Methods with R,32079,t6,german,yes,very poor,very good,moderate,very good,strongly agree,agree,moderate,very difficult,good,poor,very good,strongly disagree,neither agree nor disagree,strongly disagree,strongly agree,agree,strongly disagree,very much,some,moderate,difficult,no,5.5,very dissatisfied
Statistical Learning Methods with R,32079,t6,german,yes,moderate,good,very poor,very poor,strongly disagree,strongly disagree,moderate,difficult,poor,very good,good,disagree,neither agree nor disagree,strongly agree,agree,disagree,neither agree nor disagree,a few,very much,moderate,moderate,no,5.5,dissatisfied
Statistical Learning Methods with R,32079,t6,german,yes,good,poor,very good,poor,neither agree nor disagree,agree,very difficult,easy,moderate,good,poor,strongly disagree,disagree,neither agree nor disagree,strongly disagree,neither agree nor disagree,neither agree nor disagree,moderate,some,very much,moderate,no,2.5,very dissatisfied
Statistical Learning Methods with R,32079,t6,german,yes,poor,good,good,very poor,neither agree nor disagree,neither agree nor disagree,very easy,very difficult,poor,poor,good,disagree,strongly agree,strongly disagree,agree,strongly disagree,agree,very few,very much,some,easy,no,2.0,neither
Statistical Learning Methods with R,32079,t6,german,yes,good,poor,good,moderate,agree,disagree,difficult,difficult,moderate,very good,moderate,strongly agree,disagree,agree,strongly agree,agree,disagree,moderate,a few,moderate,difficult,no,2.5,very satisfied
Statistical Learning Methods with R,32079,t6,german,yes,good,very good,good,good,neither agree nor disagree,agree,moderate,difficult,poor,good,poor,disagree,agree,disagree,agree,agree,strongly agree,very much,some,very much,very difficult,no,3.75,very dissatisfied
Statistical Learning Methods with R,32079,t6,german,yes,moderate,moderate,very good,very good,neither agree nor disagree,strongly disagree,very difficult,very difficult,moderate,good,poor,strongly agree,agree,strongly disagree,disagree,neither agree nor disagree,neither agree nor disagree,moderate,very much,some,difficult,no,3.75,very dissatisfied
Statistical Learning Methods with R,32079,t6,german,yes,moderate,very poor,moderate,very good,disagree,strongly agree,very easy,moderate,good,good,moderate,agree,neither agree nor disagree,neither agree nor disagree,disagree,neither agree nor disagree,disagree,a few,very few,a few,very difficult,no,3.75,very dissatisfied
Social Media Analytics,63091,t6,english,no,good,poor,very good,very good,agree,strongly agree,moderate,moderate,very poor,very good,very poor,strongly agree,strongly agree,strongly agree,agree,disagree,disagree,moderate,very few,very few,very difficult,yes,5.25,neither
Social Media Analytics,63091,t6,english,no,good,very poor,good,very good,disagree,neither agree nor disagree,very easy,easy,good,moderate,poor,disagree,neither agree nor disagree,strongly disagree,neither agree nor disagree,disagree,strongly agree,some,some,very much,moderate,yes,5.25,satisfied
Social Media Analytics,63091,t6,english,no,good,moderate,good,very good,strongly disagree,disagree,moderate,very difficult,very poor,poor,poor,strongly disagree,strongly agree,neither agree nor disagree,strongly agree,disagree,agree,very few,very few,a few,moderate,yes,6.0,satisfied
Social Media Analytics,63091,t6,english,no,very good,very poor,poor,moderate,disagree,strongly disagree,very difficult,difficult,poor,poor,poor,strongly agree,strongly agree,agree,strongly disagree,disagree,disagree,very much,a few,moderate,moderate,yes,5.25,dissatisfied
Social Media Analytics,63091,t6,english,no,moderate,very poor,poor,very good,strongly agree,disagree,moderate,moderate,good,very good,moderate,strongly disagree,neither agree nor disagree,agree,neither agree nor disagree,strongly disagree,agree,moderate,very few,very much,very difficult,yes,1.0,neither
Social Media Analytics,63091,t6,english,no,poor,good,very good,good,disagree,agree,very difficult,difficult,poor,very poor,moderate,disagree,neither agree nor disagree,strongly agree,strongly disagree,neither agree nor disagree,neither agree nor disagree,very much,very few,very few,very difficult,yes,2.75,satisfied
Social Media Analytics,63091,t6,english,no,very good,very good,very good,very good,strongly disagree,strongly agree,moderate,very difficult,poor,moderate,good,strongly agree,strongly disagree,disagree,neither agree nor disagree,strongly agree,strongly disagree,a few,very much,moderate,difficult,yes,1.25,very dissatisfied
Social Media Analytics,63091,t6,english,no,very good,moderate,poor,very good,strongly agree,disagree,very difficult,difficult,very good,good,poor,strongly disagree,strongly disagree,strongly disagree,agree,agree,neither agree nor disagree,very few,a few,very much,very easy,yes,1.75,neither
Social Media Analytics,63091,t6,english,no,moderate,moderate,poor,very good,strongly agree,strongly agree,very easy,difficult,very poor,poor,moderate,disagree,strongly agree,strongly disagree,disagree,agree,agree,a few,some,some,very difficult,yes,4.0,neither
